,name,f_latitude,f_longitude,distance,rating,popularity,break_fast_True,brunch_False,brunch_True,lunch_True,dinner_False,dinner_True,happy_hour_False,happy_hour_True
0,Electric Lemon,40.754711,-74.002209,146,7.3,0.9962278224226027,0,0,0,1,0,1,0,0
1,Peak NYC,40.754047,-74.000829,239,8.7,0.9886240816006575,0,0,1,1,0,1,0,0
2,Friedman's,40.755299,-73.998432,312,8.5,0.9952515220546491,0,0,1,1,0,1,0,1
3,Estiatorio Milos,40.753499,-74.001157,258,7.5,0.9931278905973485,0,0,0,1,0,1,0,0
4,Shake Shack,40.753345,-74.000845,211,7.0,0.9799894055969803,0,0,1,1,0,1,0,0
5,Hudson Yards Grill,40.753355,-74.000496,246,7.2,0.9811866206467337,0,0,1,1,0,1,0,0
6,Sweetgreen,40.752639,-74.001035,369,8.5,0.9970520954826511,0,0,0,1,0,0,0,0
7,Mercado Little Spain,40.752627,-74.001472,356,8.1,0.9991781023666376,0,0,1,1,0,1,0,0
8,La Barra,40.752893,-74.001613,345,7.8,0.9895338700214026,0,0,1,1,0,1,0,0
9,Bluestone Lane,40.753394,-74.000776,296,7.2,0.9801058015045953,0,0,1,1,0,1,0,0
10,Kyma Hudson,40.754749,-73.997349,341,7.6,0.9959475220736524,0,0,1,0,0,1,0,0
11,Via Trenta Pizzoteca,40.752852,-74.003097,332,7.3,0.9415858823641197,0,0,0,0,1,0,0,0
12,Zou Zou's,40.752902,-73.998501,452,8.8,0.9933250510122881,0,0,1,1,0,1,0,0
13,Miznon,40.753499,-74.001157,290,6.8,0.9697489411535547,0,0,1,1,0,1,0,0
14,Hudson Food Caters,40.753001,-74.003583,347,7.2,0.9902417471738361,0,0,0,0,0,0,0,0
15,Jajaja Plantas Mexicana,40.752784,-73.999643,440,8.0,0.9897975423835507,0,0,1,1,0,1,0,0
16,Finn’s Bagels,40.756224,-73.998163,359,7.2,0.9979595084767101,1,0,1,1,0,0,0,0
17,Kahlo,40.75216,-74.002764,402,7.5,0.9828589210336907,0,0,0,0,0,1,0,0
18,Chef's Table At Brooklyn Fare,40.756113,-73.99628,484,8.5,0.9838233442682142,0,0,0,0,0,1,0,0
19,Spanish Diner,40.752521,-74.00138,392,7.4,0.9958121227525494,0,0,1,1,0,1,0,0
20,Daily Provisions,40.752601,-73.998828,463,8.0,0.990362893934823,1,0,1,1,0,0,0,0
21,Umami Burger,40.753219,-73.999678,359,7.0,0.9103015129092563,0,0,0,1,0,1,0,0
22,Mar,40.752948,-74.001572,360,7.0,0.7758499870539246,0,0,0,0,0,0,0,0
23,Whitmans,40.751872,-74.001442,469,7.7,0.9952990305883694,0,0,1,1,0,1,0,0
24,Vitos Slices And Ices,40.754412,-73.995339,594,8.6,0.992408136311485,0,0,0,1,0,1,0,0
25,Sergimmo Salumeria,40.754357,-73.995381,589,8.5,0.9682880537416534,0,0,1,1,0,0,1,0
26,H-Yard Gourmet Deli,40.754081,-73.995588,576,7.8,0.9899329417046537,1,0,0,1,0,0,0,0
27,Farida,40.755569,-73.994467,630,8.5,0.9755354805606957,0,0,1,0,0,1,0,0
28,Tavola,40.755348,-73.994633,620,8.3,0.9887428529349584,0,1,0,1,0,1,0,1
29,Porteno Restaurant,40.750442,-74.002434,611,8.2,0.9779512895003765,0,0,1,1,0,1,1,0
30,Il Piccolo Ristoro,40.750929,-74.002409,557,7.6,0.9765592894623697,1,0,1,1,0,1,0,0
31,Uncle Jack's Steakhouse - Westside,40.753698,-73.995792,574,7.7,0.9776899925649145,0,0,1,1,0,1,0,1
32,Zoob Zib,40.754467,-73.995298,573,7.6,0.9831320951025828,0,0,1,1,0,1,0,1
33,Aiyara Thai,40.755018,-73.994883,627,7.7,0.9686942517049625,0,0,0,1,0,1,0,0
34,Il Punto Ristorante,40.756105,-73.994576,633,7.7,0.9844148255130328,0,0,1,1,0,1,0,1
35,Avocaderia,40.75177,-74.005194,525,6.9,0.9446216776688513,0,0,0,1,0,0,0,0
36,Death Ave,40.751099,-74.00211,533,6.8,0.9947099247702369,0,0,1,1,0,1,0,1
37,Skylight Diner,40.753296,-73.996693,530,6.8,0.9959498975003385,1,0,1,1,0,1,1,0
38,Patiala,40.753372,-73.995866,579,7.0,0.9932395356515914,0,1,0,1,0,1,1,0
39,Kashmir 9,40.754963,-73.994924,601,7.2,0.9404908106618651,0,0,0,0,0,0,0,0
40,North River Lobster Company,40.761824,-74.002578,683,7.5,0.9814004090484754,0,1,0,1,0,1,0,1
41,Pio Pio,40.760587,-73.994531,812,8.9,0.9931373923040926,0,0,1,1,0,1,0,1
42,Bagels & More,40.753425,-73.995912,604,6.9,0.9896122591020412,1,0,1,1,0,0,0,0
43,Aura Thai,40.754467,-73.995298,564,6.6,0.03181171417915943,0,0,1,1,0,1,0,0
44,Mercato,40.756189,-73.993487,725,7.7,0.9798017468887849,0,1,0,0,0,1,1,0
45,Chez Josephine,40.758513,-73.99336,770,7.9,0.9795713305002411,0,0,1,0,0,1,0,0
46,Mémé Mediterranean,40.760902,-73.994808,839,8.7,0.983806716281412,0,0,1,1,0,1,1,0
47,Unidentified Flying Chicken Hell's Kitchen,40.756726,-73.993596,704,7.3,0.9255066191264606,0,0,0,0,0,0,0,0
48,Siblings NYC,40.755569,-73.994467,630,6.8,0.563779018806253,0,0,0,0,0,0,1,0
49,Little Pie Company,40.759377,-73.993307,848,8.6,0.9898046686636087,0,1,0,0,0,0,1,0
